measure,agent,display,n_trades,actual_cumulative_return,mean_simulated_return,p_value,percentile,RCSI,RCSI_z,verdict,bh_adjusted_p_value
leading_gap_200,donchian_trend_reentry,Donchian Trend Reentry,60,0.0712736569310178,0.1742242456293438,0.6706658668266346,32.95340931813637,-0.102950588698326,-0.4982411909906119,Below null median,0.7839232153569287
leading_gap_200,turn_of_month_seasonality,Turn-of-Month Seasonality,141,0.3229344338797686,0.2356896973229344,0.3199360127974405,68.0263947210558,0.0872447365568342,0.3673976024947551,Random / luck,0.5865493567953076
leading_gap_200,random,Random Baseline,215,0.6010568562392364,1.0358912266920424,0.7126574685062987,28.754249150169965,-0.4348343704528059,-0.6278144094445982,Below null median,0.7839232153569287
context_matched,trend_pullback,Trend + Pullback,77,0.0831870702861856,1.366747859905593,1.0,0.01999600079984,-1.2835607896194077,-14.89495154333896,Below null median,1.0
context_matched,breakout_volume_momentum,Breakout + Volume + Momentum,46,0.2967219724451765,0.2324653119623028,0.0217956408718256,97.84043191361728,0.0642566604828737,2.072665705030081,Moderate,0.0799173498633606
context_matched,mean_reversion_vol_filter,Mean Reversion + Volatility Filter,13,-0.0096526077157488,-0.0171457161722117,0.395120975804839,60.50789842031594,0.0074931084564628,0.1007824290916738,Random / luck,0.7243884556422048
context_matched,trend_momentum_verification,Validation Strategy (Adaptive Volatility Momentum),35,0.2187438434195758,0.3574998516462358,0.9934013197360528,0.6798640271945611,-0.1387560082266599,-2.280445872300645,Below null median,1.0
context_matched,adx_trend_following,ADX Trend Following,110,0.803220296679297,0.7000964685036057,0.0095980803839232,99.06018796240753,0.1031238281756912,2.6879547986440593,Strong,0.0527894421115776
context_matched,uptrend_oversold_reversion,Uptrend Oversold Reversion,30,0.0821740100618441,0.0270939646765432,0.1457708458308338,85.44291141771646,0.0550800453853008,1.11281545507048,Weak,0.3206958608278344
context_matched,volatility_squeeze_breakout,Volatility Squeeze Breakout,4,0.0648632425718123,0.0063846750207381,0.0303939212157568,96.98060387922416,0.0584785675510741,1.6657689974928411,Moderate,0.0835832833433313
context_matched,connors_rsi2_pullback,Connors RSI(2) Pullback,41,0.118364255170301,-0.0211075166900732,0.0003999200159968,99.98000399920016,0.1394717718603743,4.037312761568763,Strong,0.0043991201759648
context_matched,donchian_trend_reentry,Donchian Trend Reentry,60,0.0712736569310178,0.5300274834833274,1.0,0.01999600079984,-0.4587538265523095,-8.644746115771628,Below null median,1.0
context_matched,turn_of_month_seasonality,Turn-of-Month Seasonality,141,0.3229344338797686,1.060026379191198,1.0,0.01999600079984,-0.7370919453114293,-36.165438554084105,Below null median,1.0
context_matched,random,Random Baseline,215,0.6010568562392364,1.8567983521109288,1.0,0.01999600079984,-1.255741495871692,-60.91906864306229,Below null median,1.0
